masked_user,department,role,risk_type,severity,description,evidence,severity_score
user_2627,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2662,finance,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2668,sales,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2689,finance,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2699,sales,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2737,hr,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2743,hr,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2771,it,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2816,hr,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2843,sales,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2853,it,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2855,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2931,finance,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2953,finance,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2962,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2969,finance,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_2996,sales,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3029,finance,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3112,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3140,sales,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3146,finance,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3157,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3248,hr,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3254,operations,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3259,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3274,it,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3293,hr,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3304,it,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3358,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3389,sales,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3436,operations,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3455,finance,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3483,it,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3500,finance,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3505,it,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3518,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3526,sales,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3529,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3531,sales,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3561,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3608,hr,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3609,it,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3621,finance,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3625,sales,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3671,it,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3722,operations,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3726,sales,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3745,operations,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3781,operations,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3821,finance,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3832,hr,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3833,it,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3838,hr,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3863,hr,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3873,sales,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3874,finance,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3880,sales,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3905,hr,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3926,operations,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3953,it,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3959,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3968,finance,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3980,it,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_3985,operations,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4019,finance,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4042,it,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4067,operations,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4088,hr,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4091,hr,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4111,finance,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4137,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4166,it,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4186,operations,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4219,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4229,operations,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4344,operations,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4346,finance,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4348,finance,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4357,finance,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4362,finance,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4378,sales,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4392,it,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4397,operations,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4439,hr,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4444,operations,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4455,operations,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4460,finance,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4485,hr,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4491,operations,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4514,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4517,finance,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4539,finance,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4545,hr,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4593,finance,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4618,sales,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4632,it,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4634,finance,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4636,sales,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4641,sales,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4666,operations,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4706,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4711,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4714,finance,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4739,sales,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4744,hr,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4747,it,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4789,it,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4826,sales,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4835,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4840,finance,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4841,operations,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4856,hr,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4857,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4858,finance,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4862,sales,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4887,sales,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4916,hr,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4928,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4946,finance,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4967,it,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4971,finance,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_4992,finance,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5018,sales,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5047,it,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5075,finance,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5145,it,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5149,operations,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5154,sales,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5164,operations,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5186,finance,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5198,hr,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5212,hr,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5219,sales,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5235,operations,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5242,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5252,hr,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5293,sales,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5310,operations,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5372,hr,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5377,sales,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5381,it,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5438,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5443,finance,admin,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5445,sales,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5447,it,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5462,it,manager,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5488,it,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5570,operations,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5578,it,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5598,it,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5626,finance,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5634,operations,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5694,it,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5698,sales,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5767,it,analyst,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5784,it,engineer,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
user_5792,operations,intern,Admin account without MFA,High,User has admin-level access but no MFA enabled.,"access_level = admin, mfa_enabled = no",3
