masked_user,total_events,malicious_events,avg_anomaly_score,max_anomaly_score,off_hours_events,weekend_events,unique_sources,unique_devices,first_seen,last_seen,off_hours_ratio,weekend_ratio
user_1124,1,0,0.4506,0.4506,0,1,1,1,2024-08-18 15:13:24,2024-08-18 15:13:24,0.0,1.0
user_1125,1,0,0.1262,0.1262,0,0,1,1,2024-12-23 12:20:38,2024-12-23 12:20:38,0.0,0.0
user_1126,1,0,0.0225,0.0225,0,0,1,1,2024-10-10 13:18:25,2024-10-10 13:18:25,0.0,0.0
user_1127,2,0,0.47409999999999997,0.4855,0,0,2,2,2024-03-08 15:02:30,2024-08-05 11:29:58,0.0,0.0
user_1131,1,0,0.1439,0.1439,0,1,1,1,2024-03-03 10:38:49,2024-03-03 10:38:49,0.0,1.0
user_1133,1,0,0.1335,0.1335,0,0,1,1,2024-07-31 18:04:38,2024-07-31 18:04:38,0.0,0.0
user_1134,1,0,0.4286,0.4286,0,1,1,1,2024-08-31 18:45:21,2024-08-31 18:45:21,0.0,1.0
user_1137,1,0,0.029,0.029,0,1,1,1,2024-07-20 16:22:05,2024-07-20 16:22:05,0.0,1.0
user_1141,1,0,0.3473,0.3473,0,0,1,1,2024-11-13 15:16:42,2024-11-13 15:16:42,0.0,0.0
user_1144,1,0,0.1281,0.1281,0,0,1,1,2024-01-22 13:46:44,2024-01-22 13:46:44,0.0,0.0
user_1146,1,0,0.4367,0.4367,0,0,1,1,2024-11-13 11:30:17,2024-11-13 11:30:17,0.0,0.0
user_1152,1,0,0.2865,0.2865,0,1,1,1,2024-12-28 13:49:40,2024-12-28 13:49:40,0.0,1.0
user_1153,1,0,0.0511,0.0511,0,0,1,1,2024-02-29 14:54:15,2024-02-29 14:54:15,0.0,0.0
user_1154,1,0,0.442,0.442,0,0,1,1,2024-10-01 17:45:14,2024-10-01 17:45:14,0.0,0.0
user_1155,2,2,0.9643999999999999,0.9787,2,0,2,1,2024-05-23 02:12:45,2024-11-08 04:54:11,1.0,0.0
user_1156,1,0,0.3842,0.3842,0,0,1,1,2024-01-23 14:11:53,2024-01-23 14:11:53,0.0,0.0
user_1157,1,0,0.299,0.299,0,0,1,1,2024-04-01 12:46:56,2024-04-01 12:46:56,0.0,0.0
user_1158,1,0,0.0744,0.0744,0,0,1,1,2024-05-21 14:59:06,2024-05-21 14:59:06,0.0,0.0
user_1159,2,0,0.3406,0.4993,0,2,2,2,2024-04-27 14:48:47,2024-08-04 14:08:34,0.0,1.0
user_1161,2,1,0.7067,0.9629,1,1,2,1,2024-09-21 01:27:01,2024-11-25 09:34:02,0.5,0.5
user_1164,1,0,0.4617,0.4617,0,1,1,1,2024-10-06 17:12:14,2024-10-06 17:12:14,0.0,1.0
user_1165,1,0,0.3525,0.3525,0,0,1,1,2024-10-09 11:48:30,2024-10-09 11:48:30,0.0,0.0
user_1166,1,0,0.0111,0.0111,0,1,1,1,2024-12-15 15:56:04,2024-12-15 15:56:04,0.0,1.0
user_1167,1,0,0.313,0.313,0,1,1,1,2024-06-16 09:04:22,2024-06-16 09:04:22,0.0,1.0
user_1168,1,0,0.3844,0.3844,0,0,1,1,2024-12-11 16:35:38,2024-12-11 16:35:38,0.0,0.0
user_1169,1,0,0.2667,0.2667,0,1,1,1,2024-10-12 18:38:06,2024-10-12 18:38:06,0.0,1.0
user_1171,1,0,0.2199,0.2199,0,0,1,1,2024-01-01 14:06:00,2024-01-01 14:06:00,0.0,0.0
user_1177,1,0,0.1863,0.1863,0,0,1,1,2024-01-25 09:13:03,2024-01-25 09:13:03,0.0,0.0
user_1183,1,0,0.3259,0.3259,0,1,1,1,2024-12-22 10:19:11,2024-12-22 10:19:11,0.0,1.0
user_1184,1,0,0.0586,0.0586,0,1,1,1,2024-01-06 17:11:09,2024-01-06 17:11:09,0.0,1.0
user_1186,3,0,0.28823333333333334,0.4695,0,1,3,2,2024-04-05 16:32:07,2024-11-02 09:27:27,0.0,0.3333333333333333
user_1187,3,0,0.34736666666666666,0.4019,0,1,3,3,2024-05-20 18:34:33,2024-11-12 09:42:09,0.0,0.3333333333333333
user_1188,2,0,0.1109,0.1869,0,0,2,1,2024-02-23 13:24:51,2024-10-01 11:36:00,0.0,0.0
user_1189,1,0,0.2094,0.2094,0,1,1,1,2024-03-02 15:18:49,2024-03-02 15:18:49,0.0,1.0
user_1192,1,0,0.4501,0.4501,0,0,1,1,2024-03-22 16:21:38,2024-03-22 16:21:38,0.0,0.0
user_1193,1,0,0.2816,0.2816,0,0,1,1,2024-08-16 12:09:09,2024-08-16 12:09:09,0.0,0.0
user_1195,1,0,0.4984,0.4984,0,0,1,1,2024-04-12 13:30:35,2024-04-12 13:30:35,0.0,0.0
user_1197,1,0,0.2394,0.2394,0,1,1,1,2024-10-27 13:22:35,2024-10-27 13:22:35,0.0,1.0
user_1198,2,0,0.24630000000000002,0.39,0,1,2,2,2024-02-16 14:33:48,2024-03-03 17:24:03,0.0,0.5
user_1199,1,0,0.303,0.303,0,1,1,1,2024-03-30 12:03:18,2024-03-30 12:03:18,0.0,1.0
user_1203,1,0,0.4066,0.4066,0,0,1,1,2024-05-15 11:53:35,2024-05-15 11:53:35,0.0,0.0
user_1204,1,1,0.9184,0.9184,1,0,1,1,2024-02-07 03:35:12,2024-02-07 03:35:12,1.0,0.0
user_1208,2,0,0.269,0.3192,0,1,2,2,2024-01-13 10:04:50,2024-07-11 15:35:20,0.0,0.5
user_1210,1,0,0.1069,0.1069,0,0,1,1,2024-10-14 12:45:14,2024-10-14 12:45:14,0.0,0.0
user_1212,1,1,0.9258,0.9258,1,0,1,1,2024-05-22 03:27:42,2024-05-22 03:27:42,1.0,0.0
user_1215,1,0,0.4749,0.4749,0,1,1,1,2024-09-22 15:11:22,2024-09-22 15:11:22,0.0,1.0
user_1216,1,0,0.0388,0.0388,0,0,1,1,2024-07-01 13:02:03,2024-07-01 13:02:03,0.0,0.0
user_1219,2,1,0.7031499999999999,0.9066,1,1,2,1,2024-05-05 15:06:33,2024-05-07 03:26:44,0.5,0.5
user_1223,1,1,0.9624,0.9624,1,0,1,1,2024-08-20 03:18:19,2024-08-20 03:18:19,1.0,0.0
user_1227,1,0,0.3556,0.3556,0,1,1,1,2024-01-20 18:21:02,2024-01-20 18:21:02,0.0,1.0
user_1228,1,0,0.0619,0.0619,0,0,1,1,2024-09-06 13:12:28,2024-09-06 13:12:28,0.0,0.0
user_1230,2,0,0.38034999999999997,0.4219,0,1,2,2,2024-01-27 09:15:13,2024-03-26 17:06:31,0.0,0.5
user_1232,1,0,0.3443,0.3443,0,0,1,1,2024-08-30 10:39:48,2024-08-30 10:39:48,0.0,0.0
user_1235,1,0,0.1399,0.1399,0,0,1,1,2024-01-15 15:31:20,2024-01-15 15:31:20,0.0,0.0
user_1241,1,0,0.4018,0.4018,0,0,1,1,2024-08-23 10:46:07,2024-08-23 10:46:07,0.0,0.0
user_1247,1,0,0.0827,0.0827,0,0,1,1,2024-08-15 11:04:25,2024-08-15 11:04:25,0.0,0.0
user_1249,2,0,0.42055,0.4268,0,1,2,2,2024-06-21 12:31:58,2024-11-24 18:21:07,0.0,0.5
user_1253,1,0,0.3751,0.3751,0,0,1,1,2024-10-28 11:09:17,2024-10-28 11:09:17,0.0,0.0
user_1254,1,0,0.4379,0.4379,0,0,1,1,2024-02-12 12:40:38,2024-02-12 12:40:38,0.0,0.0
user_1255,1,1,0.9887,0.9887,1,0,1,1,2024-07-03 04:53:32,2024-07-03 04:53:32,1.0,0.0
user_1256,1,0,0.0818,0.0818,0,0,1,1,2024-12-11 16:49:11,2024-12-11 16:49:11,0.0,0.0
user_1257,1,0,0.3882,0.3882,0,0,1,1,2024-01-26 12:08:18,2024-01-26 12:08:18,0.0,0.0
user_1258,1,0,0.2842,0.2842,0,1,1,1,2024-08-18 15:04:04,2024-08-18 15:04:04,0.0,1.0
user_1260,1,0,0.2097,0.2097,0,0,1,1,2024-06-26 18:07:15,2024-06-26 18:07:15,0.0,0.0
user_1262,1,0,0.0339,0.0339,0,0,1,1,2024-04-18 14:38:51,2024-04-18 14:38:51,0.0,0.0
user_1263,1,0,0.1364,0.1364,0,0,1,1,2024-11-29 18:39:48,2024-11-29 18:39:48,0.0,0.0
user_1271,1,0,0.1324,0.1324,0,0,1,1,2024-09-17 11:52:24,2024-09-17 11:52:24,0.0,0.0
user_1273,1,0,0.4916,0.4916,0,0,1,1,2024-04-22 11:45:54,2024-04-22 11:45:54,0.0,0.0
user_1281,1,0,0.1993,0.1993,0,1,1,1,2024-09-07 16:06:06,2024-09-07 16:06:06,0.0,1.0
user_1283,4,1,0.50325,0.9378,1,0,4,3,2024-03-22 18:48:14,2024-06-04 10:20:16,0.25,0.0
user_1286,2,0,0.18595,0.3675,0,1,2,2,2024-06-08 17:04:00,2024-07-17 11:04:38,0.0,0.5
user_1288,1,0,0.2359,0.2359,0,0,1,1,2024-04-08 13:53:10,2024-04-08 13:53:10,0.0,0.0
user_1290,1,0,0.4688,0.4688,0,0,1,1,2024-08-08 18:37:42,2024-08-08 18:37:42,0.0,0.0
user_1295,2,0,0.20074999999999998,0.2273,0,1,2,2,2024-10-09 13:58:22,2024-12-14 09:18:57,0.0,0.5
user_1297,2,0,0.23765,0.2818,0,1,2,2,2024-03-24 14:19:10,2024-09-25 18:46:34,0.0,0.5
user_1298,1,1,0.9333,0.9333,1,1,1,1,2024-12-07 04:51:37,2024-12-07 04:51:37,1.0,1.0
user_1299,1,0,0.1804,0.1804,0,0,1,1,2024-01-12 09:39:44,2024-01-12 09:39:44,0.0,0.0
user_1300,1,0,0.3917,0.3917,0,0,1,1,2024-01-11 12:41:43,2024-01-11 12:41:43,0.0,0.0
user_1304,1,1,0.9434,0.9434,1,0,1,1,2024-05-27 01:57:22,2024-05-27 01:57:22,1.0,0.0
user_1305,1,0,0.2001,0.2001,0,0,1,1,2024-09-10 11:42:26,2024-09-10 11:42:26,0.0,0.0
user_1306,1,0,0.4193,0.4193,0,0,1,1,2024-02-28 10:11:30,2024-02-28 10:11:30,0.0,0.0
user_1310,2,1,0.5591,0.9184,1,0,2,1,2024-03-28 02:22:10,2024-06-03 09:11:40,0.5,0.0
user_1315,2,0,0.41285,0.4316,0,1,2,1,2024-04-14 11:12:08,2024-05-14 10:36:03,0.0,0.5
user_1321,1,0,0.0691,0.0691,0,0,1,1,2024-04-29 10:09:04,2024-04-29 10:09:04,0.0,0.0
user_1322,2,0,0.21175,0.2853,0,2,2,2,2024-12-22 13:24:56,2024-12-29 16:01:40,0.0,1.0
user_1323,1,0,0.2582,0.2582,0,1,1,1,2024-05-04 09:13:08,2024-05-04 09:13:08,0.0,1.0
user_1330,1,0,0.3058,0.3058,0,0,1,1,2024-02-27 13:22:06,2024-02-27 13:22:06,0.0,0.0
user_1331,1,0,0.4506,0.4506,0,0,1,1,2024-12-04 13:29:31,2024-12-04 13:29:31,0.0,0.0
user_1332,1,0,0.3839,0.3839,0,1,1,1,2024-09-14 14:38:28,2024-09-14 14:38:28,0.0,1.0
user_1333,1,0,0.4288,0.4288,0,0,1,1,2024-10-04 13:39:33,2024-10-04 13:39:33,0.0,0.0
user_1336,1,0,0.0891,0.0891,0,0,1,1,2024-10-22 13:32:20,2024-10-22 13:32:20,0.0,0.0
user_1337,1,0,0.1942,0.1942,0,0,1,1,2024-10-02 16:01:28,2024-10-02 16:01:28,0.0,0.0
user_1338,1,0,0.1277,0.1277,0,0,1,1,2024-01-16 10:32:15,2024-01-16 10:32:15,0.0,0.0
user_1339,2,0,0.3029,0.3346,0,0,2,2,2024-03-25 10:17:32,2024-07-15 13:13:13,0.0,0.0
user_1340,1,0,0.1651,0.1651,0,0,1,1,2024-04-30 17:34:03,2024-04-30 17:34:03,0.0,0.0
user_1341,1,0,0.1174,0.1174,0,0,1,1,2024-11-11 15:01:07,2024-11-11 15:01:07,0.0,0.0
user_1344,2,0,0.2858,0.4341,0,0,2,1,2024-10-28 12:41:08,2024-11-05 09:34:25,0.0,0.0
user_1345,1,0,0.3722,0.3722,0,0,1,1,2024-08-15 12:55:34,2024-08-15 12:55:34,0.0,0.0
user_1347,1,0,0.1861,0.1861,0,1,1,1,2024-05-11 16:34:23,2024-05-11 16:34:23,0.0,1.0
user_1348,2,0,0.30395,0.4218,0,1,2,1,2024-05-26 15:23:18,2024-07-12 18:10:39,0.0,0.5
user_1349,2,0,0.15045,0.2677,0,1,2,1,2024-02-09 13:08:16,2024-07-20 14:24:07,0.0,0.5
user_1350,1,0,0.1001,0.1001,0,1,1,1,2024-12-29 12:47:43,2024-12-29 12:47:43,0.0,1.0
user_1351,1,1,0.9752,0.9752,1,0,1,1,2024-09-05 03:17:50,2024-09-05 03:17:50,1.0,0.0
user_1353,1,1,0.9206,0.9206,1,1,1,1,2024-02-25 03:39:25,2024-02-25 03:39:25,1.0,1.0
user_1357,3,0,0.2336,0.3656,0,0,3,2,2024-07-15 13:10:31,2024-12-11 14:09:33,0.0,0.0
user_1359,1,0,0.1975,0.1975,0,0,1,1,2024-04-09 09:41:50,2024-04-09 09:41:50,0.0,0.0
user_1361,1,0,0.1991,0.1991,0,0,1,1,2024-07-22 13:17:22,2024-07-22 13:17:22,0.0,0.0
user_1364,1,0,0.4609,0.4609,0,0,1,1,2024-10-09 09:59:07,2024-10-09 09:59:07,0.0,0.0
user_1365,2,0,0.271,0.4142,0,0,2,2,2024-02-22 10:02:12,2024-06-21 14:47:52,0.0,0.0
user_1367,1,0,0.2819,0.2819,0,0,1,1,2024-10-10 12:07:46,2024-10-10 12:07:46,0.0,0.0
user_1369,1,0,0.444,0.444,0,0,1,1,2024-10-16 12:04:20,2024-10-16 12:04:20,0.0,0.0
user_1371,1,0,0.4499,0.4499,0,0,1,1,2024-03-07 13:33:39,2024-03-07 13:33:39,0.0,0.0
user_1372,1,0,0.1425,0.1425,0,0,1,1,2024-04-22 11:23:22,2024-04-22 11:23:22,0.0,0.0
user_1373,1,0,0.2021,0.2021,0,0,1,1,2024-03-18 13:18:13,2024-03-18 13:18:13,0.0,0.0
user_1374,2,0,0.34595,0.3824,0,1,2,2,2024-02-14 18:22:09,2024-09-22 14:13:32,0.0,0.5
user_1376,1,0,0.2232,0.2232,0,0,1,1,2024-09-06 11:09:35,2024-09-06 11:09:35,0.0,0.0
user_1378,2,0,0.39985,0.4734,0,0,2,2,2024-04-01 18:13:06,2024-11-11 12:47:54,0.0,0.0
user_1384,1,0,0.4192,0.4192,0,0,1,1,2024-09-11 16:31:08,2024-09-11 16:31:08,0.0,0.0
user_1389,1,0,0.5,0.5,0,0,1,1,2024-04-26 11:43:05,2024-04-26 11:43:05,0.0,0.0
user_1390,1,0,0.2078,0.2078,0,0,1,1,2024-02-22 17:32:02,2024-02-22 17:32:02,0.0,0.0
user_1391,1,0,0.2949,0.2949,0,0,1,1,2024-03-01 10:26:17,2024-03-01 10:26:17,0.0,0.0
user_1397,3,1,0.5073666666666666,0.9511,1,1,3,3,2024-03-20 02:13:10,2024-12-07 18:53:25,0.3333333333333333,0.3333333333333333
user_1400,2,0,0.18275,0.1946,0,0,2,2,2024-01-02 13:58:37,2024-05-30 18:54:36,0.0,0.0
user_1401,1,0,0.075,0.075,0,0,1,1,2024-03-13 17:16:17,2024-03-13 17:16:17,0.0,0.0
user_1402,1,0,0.0627,0.0627,0,0,1,1,2024-02-19 13:13:23,2024-02-19 13:13:23,0.0,0.0
user_1404,1,0,0.1266,0.1266,0,1,1,1,2024-06-30 13:06:05,2024-06-30 13:06:05,0.0,1.0
user_1405,1,0,0.2202,0.2202,0,0,1,1,2024-09-04 18:45:54,2024-09-04 18:45:54,0.0,0.0
user_1408,1,1,0.9058,0.9058,1,0,1,1,2024-02-13 03:54:08,2024-02-13 03:54:08,1.0,0.0
user_1410,1,0,0.4183,0.4183,0,0,1,1,2024-09-06 13:26:59,2024-09-06 13:26:59,0.0,0.0
user_1411,2,0,0.043300000000000005,0.0454,0,1,2,2,2024-05-21 13:05:17,2024-06-16 11:46:59,0.0,0.5
user_1413,2,0,0.3268,0.3585,0,0,2,2,2024-03-14 11:29:42,2024-12-30 16:55:57,0.0,0.0
user_1414,1,0,0.2566,0.2566,0,0,1,1,2024-03-20 14:11:53,2024-03-20 14:11:53,0.0,0.0
user_1419,1,0,0.4436,0.4436,0,1,1,1,2024-07-06 14:57:34,2024-07-06 14:57:34,0.0,1.0
user_1420,2,0,0.2329,0.2891,0,0,2,1,2024-04-12 16:11:27,2024-08-07 14:44:41,0.0,0.0
user_1426,1,0,0.3812,0.3812,0,1,1,1,2024-03-10 12:25:12,2024-03-10 12:25:12,0.0,1.0
user_1428,1,0,0.4167,0.4167,0,0,1,1,2024-01-05 12:01:03,2024-01-05 12:01:03,0.0,0.0
user_1430,1,0,0.345,0.345,0,1,1,1,2024-01-20 13:29:24,2024-01-20 13:29:24,0.0,1.0
user_1431,2,0,0.20345000000000002,0.406,0,0,2,1,2024-08-19 11:38:47,2024-09-27 13:06:33,0.0,0.0
user_1432,1,0,0.3356,0.3356,0,1,1,1,2024-03-16 16:31:01,2024-03-16 16:31:01,0.0,1.0
user_1433,1,0,0.298,0.298,0,1,1,1,2024-05-18 16:47:43,2024-05-18 16:47:43,0.0,1.0
user_1436,1,0,0.081,0.081,0,0,1,1,2024-12-03 15:05:43,2024-12-03 15:05:43,0.0,0.0
user_1438,2,1,0.56455,0.9325,1,1,2,2,2024-04-16 18:32:29,2024-12-29 01:04:33,0.5,0.5
user_1441,1,0,0.4067,0.4067,0,1,1,1,2024-10-26 16:19:12,2024-10-26 16:19:12,0.0,1.0
user_1444,1,0,0.332,0.332,0,1,1,1,2024-01-21 13:37:02,2024-01-21 13:37:02,0.0,1.0
user_1447,1,0,0.0745,0.0745,0,0,1,1,2024-02-20 17:59:27,2024-02-20 17:59:27,0.0,0.0
user_1449,1,1,0.9868,0.9868,1,0,1,1,2024-02-08 03:48:24,2024-02-08 03:48:24,1.0,0.0
user_1450,2,0,0.22870000000000001,0.3391,0,0,2,2,2024-04-18 13:30:30,2024-08-19 14:58:30,0.0,0.0
user_1451,1,1,0.9893,0.9893,1,0,1,1,2024-08-21 04:15:34,2024-08-21 04:15:34,1.0,0.0
user_1453,1,0,0.0265,0.0265,0,0,1,1,2024-10-08 11:20:30,2024-10-08 11:20:30,0.0,0.0
user_1454,1,0,0.1983,0.1983,0,0,1,1,2024-01-31 16:42:19,2024-01-31 16:42:19,0.0,0.0
user_1455,1,0,0.2041,0.2041,0,0,1,1,2024-06-18 14:31:07,2024-06-18 14:31:07,0.0,0.0
user_1458,2,1,0.6659,0.9453,1,0,2,1,2024-03-19 03:52:13,2024-04-15 17:14:53,0.5,0.0
user_1459,1,0,0.1259,0.1259,0,1,1,1,2024-09-07 12:22:32,2024-09-07 12:22:32,0.0,1.0
user_1462,1,0,0.3704,0.3704,0,0,1,1,2024-11-08 14:49:14,2024-11-08 14:49:14,0.0,0.0
user_1466,1,0,0.0989,0.0989,0,1,1,1,2024-08-24 13:47:54,2024-08-24 13:47:54,0.0,1.0
user_1467,2,0,0.2121,0.3441,0,0,2,2,2024-08-15 11:53:23,2024-11-18 16:23:05,0.0,0.0
user_1470,1,0,0.2662,0.2662,0,1,1,1,2024-10-27 14:42:05,2024-10-27 14:42:05,0.0,1.0
user_1472,1,0,0.2609,0.2609,0,1,1,1,2024-04-14 17:25:37,2024-04-14 17:25:37,0.0,1.0
user_1477,1,1,0.9766,0.9766,1,0,1,1,2024-03-21 01:21:57,2024-03-21 01:21:57,1.0,0.0
user_1478,1,0,0.4947,0.4947,0,0,1,1,2024-01-01 17:01:18,2024-01-01 17:01:18,0.0,0.0
user_1480,1,0,0.4841,0.4841,0,0,1,1,2024-01-02 12:39:43,2024-01-02 12:39:43,0.0,0.0
user_1481,1,1,0.9901,0.9901,1,0,1,1,2024-07-05 02:27:09,2024-07-05 02:27:09,1.0,0.0
user_1482,1,1,0.9905,0.9905,1,1,1,1,2024-04-06 01:50:30,2024-04-06 01:50:30,1.0,1.0
user_1484,1,0,0.1238,0.1238,0,1,1,1,2024-09-01 18:30:23,2024-09-01 18:30:23,0.0,1.0
user_1489,1,0,0.4891,0.4891,0,1,1,1,2024-09-29 15:39:28,2024-09-29 15:39:28,0.0,1.0
user_1490,5,0,0.28478,0.496,0,1,5,3,2024-03-09 18:45:11,2024-12-12 18:19:30,0.0,0.2
user_1494,1,0,0.3601,0.3601,0,0,1,1,2024-11-21 09:03:57,2024-11-21 09:03:57,0.0,0.0
user_1496,1,0,0.3814,0.3814,0,0,1,1,2024-12-17 17:35:09,2024-12-17 17:35:09,0.0,0.0
user_1497,1,0,0.4023,0.4023,0,0,1,1,2024-04-10 15:46:23,2024-04-10 15:46:23,0.0,0.0
user_1498,1,0,0.2949,0.2949,0,1,1,1,2024-04-27 10:31:16,2024-04-27 10:31:16,0.0,1.0
user_1499,1,0,0.2755,0.2755,0,0,1,1,2024-02-09 12:00:35,2024-02-09 12:00:35,0.0,0.0
user_1500,1,0,0.4037,0.4037,0,0,1,1,2024-08-20 10:28:03,2024-08-20 10:28:03,0.0,0.0
user_1502,3,0,0.30556666666666665,0.3591,0,2,3,2,2024-01-15 15:49:26,2024-10-06 13:42:43,0.0,0.6666666666666666
user_1512,1,0,0.0142,0.0142,0,0,1,1,2024-10-03 11:18:42,2024-10-03 11:18:42,0.0,0.0
user_1513,1,0,0.2523,0.2523,0,1,1,1,2024-01-21 12:23:28,2024-01-21 12:23:28,0.0,1.0
user_1516,1,0,0.2216,0.2216,0,1,1,1,2024-04-14 09:48:02,2024-04-14 09:48:02,0.0,1.0
user_1517,1,0,0.0102,0.0102,0,0,1,1,2024-07-18 18:10:52,2024-07-18 18:10:52,0.0,0.0
