user_id,department,role,mfa_enabled,is_active,join_date,termination_date,manager
user_1159,finance,engineer,yes,yes,2021-07-15,,user_2201
user_1161,sales,engineer,no,no,2021-03-30,2022-07-20,user_3726
user_1164,finance,manager,yes,yes,2025-09-07,,user_1719
user_1165,sales,admin,yes,no,2021-12-12,2025-10-14,user_4957
user_1166,operations,engineer,yes,yes,2021-02-26,,user_2785
user_1167,finance,engineer,yes,yes,2025-06-19,,user_3949
user_1168,finance,manager,yes,no,2022-09-28,2025-09-09,user_8972
user_1169,sales,engineer,no,no,2022-03-29,2025-04-16,user_3096
user_1171,operations,admin,yes,yes,2022-04-11,,user_3218
user_1177,operations,analyst,no,yes,2022-10-20,,user_7915
user_1183,operations,admin,yes,yes,2023-08-07,,user_4728
user_1184,finance,engineer,no,yes,2025-02-24,,user_8014
user_1186,it,admin,yes,yes,2023-06-23,,user_5827
user_1187,finance,manager,no,yes,2025-03-04,,user_1900
user_1188,sales,manager,yes,yes,2024-08-14,,user_8556
user_1189,operations,intern,no,yes,2023-03-07,,user_1241
user_1192,hr,analyst,no,yes,2020-11-22,,user_3101
user_1193,finance,admin,yes,yes,2023-07-02,,user_7594
user_1195,hr,manager,yes,no,2021-05-29,2025-08-24,user_1257
user_1197,hr,engineer,yes,yes,2022-11-28,,user_9572
user_1198,operations,analyst,no,no,2024-01-21,2024-10-01,user_9356
user_1199,operations,engineer,yes,yes,2023-05-17,,user_8432
user_1203,sales,analyst,yes,yes,2022-03-04,,user_4505
user_1204,it,analyst,yes,yes,2021-06-20,,user_9572
user_1208,finance,analyst,yes,yes,2024-08-20,,user_2592
user_1210,operations,analyst,no,yes,2023-04-11,,user_8461
user_1212,operations,intern,yes,yes,2024-03-07,,user_8329
user_1215,it,intern,yes,no,2024-02-21,2025-05-14,user_1900
user_1216,operations,manager,no,yes,2025-11-08,,user_5707
user_1219,it,engineer,yes,yes,2020-12-24,,user_6245
user_1223,it,analyst,yes,yes,2025-07-12,,user_2778
user_1227,it,engineer,yes,yes,2022-03-02,,user_6687
user_1228,finance,admin,yes,yes,2022-02-11,,user_7915
user_1230,finance,intern,yes,no,2025-01-08,2025-09-05,user_3075
user_1232,finance,manager,no,yes,2024-01-26,,user_9301
user_1235,operations,admin,yes,yes,2023-08-26,,user_5956
user_1241,hr,analyst,yes,yes,2025-10-05,,user_7241
user_1247,it,intern,yes,yes,2021-02-27,,user_8663
user_1249,sales,analyst,yes,yes,2025-08-17,,user_3908
user_1253,hr,engineer,no,yes,2025-08-18,,user_7941
user_1254,it,engineer,yes,yes,2020-12-28,,user_3352
user_1255,operations,engineer,no,yes,2023-06-21,,user_4425
user_1256,hr,analyst,yes,yes,2024-01-31,,user_6133
user_1257,finance,intern,no,yes,2021-01-21,,user_1014
user_1258,hr,analyst,yes,yes,2023-06-17,,user_4672
user_1260,finance,engineer,yes,yes,2021-05-28,,user_2853
user_1262,sales,analyst,yes,yes,2024-06-30,,user_5588
user_1263,sales,analyst,no,yes,2023-10-14,,user_3524
user_1271,operations,engineer,yes,no,2022-04-02,2022-07-14,user_7910
user_1273,sales,manager,no,yes,2025-06-20,,user_4878
user_1281,sales,analyst,no,yes,2025-05-16,,user_6218
user_1283,finance,analyst,yes,yes,2024-11-07,,user_2740
user_1286,sales,manager,no,yes,2022-09-11,,user_6741
user_1288,it,admin,yes,no,2021-11-03,2025-08-28,user_9246
user_1290,sales,intern,yes,yes,2021-10-08,,user_2058
user_1295,sales,analyst,no,yes,2023-10-14,,user_3614
user_1297,hr,manager,no,yes,2023-12-12,,user_9483
user_1298,finance,analyst,no,yes,2021-03-04,,user_9223
user_1299,hr,analyst,yes,yes,2022-08-09,,user_6771
user_1300,it,engineer,yes,yes,2021-04-16,,user_8133
user_1304,sales,engineer,yes,yes,2023-11-19,,user_4158
user_1305,sales,analyst,no,yes,2023-11-02,,user_5027
user_1306,finance,analyst,yes,no,2023-04-13,2023-10-12,user_6861
user_1310,it,analyst,yes,yes,2021-10-17,,user_8104
user_1315,it,admin,yes,yes,2024-05-15,,user_3788
user_1321,hr,intern,yes,no,2023-01-29,2023-06-03,user_8084
user_1322,finance,analyst,yes,yes,2022-12-23,,user_8383
user_1323,hr,analyst,yes,yes,2024-05-17,,user_7677
user_1330,sales,intern,yes,yes,2024-09-25,,user_3117
user_1331,hr,intern,no,yes,2024-12-05,,user_5969
user_1332,it,manager,no,yes,2021-08-02,,user_7721
user_1333,operations,analyst,yes,yes,2023-01-07,,user_9615
user_1336,it,analyst,yes,yes,2024-12-14,,user_5074
user_1337,sales,engineer,yes,no,2020-12-20,2025-05-26,user_7787
user_1338,sales,manager,no,yes,2025-01-13,,user_3610
user_1339,hr,analyst,yes,yes,2021-10-08,,user_4523
user_1340,it,engineer,no,yes,2023-03-03,,user_9162
user_1341,hr,analyst,yes,yes,2024-05-01,,user_8718
user_1344,hr,admin,yes,yes,2022-10-08,,user_3999
user_1345,finance,analyst,no,yes,2025-05-14,,user_5213
user_1347,operations,analyst,yes,yes,2025-02-28,,user_4909
user_1348,it,engineer,yes,no,2022-11-25,2024-03-13,user_3980
user_1349,finance,manager,yes,yes,2024-12-15,,user_9946
user_1350,hr,intern,yes,yes,2022-11-30,,user_7511
user_1351,sales,engineer,yes,no,2024-07-06,2025-07-29,user_6474
user_1353,hr,analyst,no,yes,2023-03-13,,user_7835
user_1357,finance,engineer,no,yes,2021-03-13,,user_8329
user_1359,it,analyst,yes,yes,2024-03-31,,user_3491
user_1361,sales,intern,no,yes,2025-08-03,,user_4812
user_1364,hr,manager,yes,no,2024-12-30,2025-01-04,user_7059
user_1365,operations,engineer,yes,yes,2022-08-28,,user_3478
user_1367,operations,analyst,yes,yes,2021-12-24,,user_9832
user_1369,hr,manager,yes,yes,2023-08-10,,user_2054
user_1371,operations,admin,yes,yes,2025-07-13,,user_9518
user_1372,it,admin,no,yes,2025-04-15,,user_7459
user_1373,operations,analyst,yes,yes,2021-07-07,,user_5337
user_1374,operations,analyst,yes,yes,2023-06-03,,user_2480
user_1376,it,admin,yes,yes,2024-06-16,,user_5592
user_1378,finance,intern,no,yes,2022-03-11,,user_3074
user_1384,sales,analyst,no,yes,2025-10-12,,user_9661
user_1389,hr,manager,yes,yes,2023-07-20,,user_1723
user_1390,finance,analyst,yes,no,2020-11-25,2023-12-04,user_9988
user_1391,finance,intern,yes,no,2022-11-01,2023-12-12,user_9756
user_1397,it,analyst,yes,yes,2021-11-30,,user_8553
user_1400,operations,analyst,yes,no,2025-05-01,2025-09-04,user_4246
user_1401,finance,admin,yes,yes,2021-12-02,,user_4206
user_1402,it,analyst,yes,yes,2023-03-10,,user_4139
user_1404,hr,manager,yes,yes,2025-06-29,,user_2154
user_1405,operations,manager,yes,yes,2021-11-11,,user_2058
user_1408,finance,analyst,no,yes,2021-05-11,,user_1818
user_1410,operations,manager,no,yes,2022-03-16,,user_3671
user_1411,it,engineer,yes,no,2024-10-15,2025-06-13,user_8106
user_1413,sales,analyst,yes,yes,2020-12-19,,user_8301
user_1414,finance,engineer,yes,yes,2024-12-14,,user_5524
user_1419,hr,admin,yes,yes,2022-10-13,,user_6581
user_1420,finance,admin,yes,yes,2021-04-22,,user_8644
user_1426,sales,analyst,yes,yes,2022-06-04,,user_9934
user_1428,sales,analyst,no,yes,2021-06-06,,user_5969
user_1430,hr,analyst,no,yes,2025-10-31,,user_1579
user_1431,operations,manager,yes,yes,2024-02-28,,user_9259
user_1432,sales,manager,yes,yes,2024-05-07,,user_2341
user_1433,it,engineer,yes,yes,2024-06-01,,user_2618
user_1436,it,analyst,yes,yes,2023-05-28,,user_9774
user_1438,hr,analyst,yes,yes,2024-11-25,,user_2530
user_1441,finance,manager,yes,yes,2021-01-29,,user_2134
user_1444,sales,engineer,no,no,2021-02-20,2025-03-16,user_7534
user_1447,sales,analyst,yes,yes,2021-05-08,,user_1856
user_1449,operations,engineer,yes,no,2024-10-16,2025-03-10,user_5279
user_1450,hr,analyst,no,no,2021-04-20,2024-08-23,user_1827
user_1451,hr,intern,no,yes,2024-03-07,,user_6801
user_1453,operations,intern,yes,yes,2024-07-25,,user_4198
user_1454,sales,analyst,no,no,2021-09-01,2023-11-14,user_6217
user_1455,sales,analyst,yes,no,2021-08-01,2022-07-27,user_9251
user_1458,operations,manager,yes,yes,2025-04-15,,user_9522
user_1459,operations,analyst,yes,yes,2021-05-09,,user_4418
user_1462,finance,engineer,yes,yes,2021-10-12,,user_5277
user_1466,finance,admin,no,yes,2024-04-24,,user_8986
user_1467,sales,engineer,no,yes,2022-12-15,,user_6706
user_1470,operations,admin,no,yes,2023-09-02,,user_3487
user_1472,finance,manager,yes,yes,2021-04-26,,user_6934
user_1477,finance,analyst,yes,yes,2021-05-21,,user_4840
user_1478,operations,engineer,yes,yes,2021-04-08,,user_2942
user_1480,finance,manager,yes,yes,2024-06-14,,user_3744
user_1481,finance,engineer,no,yes,2023-05-12,,user_5210
user_1482,it,analyst,yes,no,2022-08-18,2025-03-22,user_5483
user_1484,operations,analyst,yes,yes,2025-07-15,,user_6122
user_1489,operations,intern,yes,yes,2020-12-13,,user_6740
user_1490,hr,analyst,yes,yes,2024-05-09,,user_1390
user_1494,operations,intern,yes,yes,2025-01-05,,user_8904
user_1496,hr,intern,yes,yes,2025-06-14,,user_1198
user_1497,hr,admin,yes,yes,2021-06-06,,user_1359
user_1498,operations,engineer,yes,yes,2023-09-27,,user_7014
user_1499,operations,engineer,yes,yes,2025-04-19,,user_1717
user_1500,sales,intern,yes,yes,2022-09-17,,user_5299
user_1502,operations,analyst,yes,yes,2023-12-09,,user_9667
user_1512,it,manager,yes,no,2023-09-14,2025-06-26,user_2696
user_1513,finance,engineer,yes,yes,2022-03-03,,user_5616
user_1516,it,manager,no,yes,2024-08-10,,user_9551
user_1517,hr,manager,yes,yes,2021-08-02,,user_5295
user_1519,hr,analyst,yes,yes,2021-01-10,,user_8903
user_1520,sales,engineer,yes,yes,2023-05-16,,user_5019
user_1521,it,intern,yes,yes,2025-03-07,,user_7673
user_1524,sales,analyst,no,yes,2023-09-12,,user_6458
user_1526,operations,intern,yes,yes,2024-09-17,,user_6995
user_1527,operations,engineer,no,no,2022-05-24,2025-01-08,user_6918
user_1531,it,admin,no,yes,2023-10-26,,user_6887
user_1532,it,engineer,yes,yes,2021-03-08,,user_8881
user_1538,it,admin,yes,yes,2021-04-11,,user_7115
user_1540,finance,analyst,no,no,2021-07-04,2022-08-31,user_3636
user_1542,operations,admin,yes,no,2025-08-29,2025-05-26,user_5713
user_1544,hr,analyst,no,yes,2022-03-28,,user_1812
user_1546,finance,intern,yes,yes,2024-07-08,,user_2937
user_1549,operations,intern,yes,yes,2025-03-01,,user_2030
user_1554,finance,analyst,yes,yes,2022-02-20,,user_5668
user_1561,sales,analyst,yes,yes,2023-02-01,,user_1391
user_1564,sales,admin,no,yes,2025-05-26,,user_9994
user_1566,sales,analyst,yes,yes,2021-06-30,,user_9068
user_1569,it,intern,no,no,2021-01-14,2022-10-26,user_8786
user_1572,finance,analyst,yes,no,2023-11-21,2025-05-15,user_1051
user_1573,sales,analyst,yes,yes,2022-01-18,,user_8178
user_1577,it,intern,yes,yes,2022-11-14,,user_7437
user_1579,sales,engineer,yes,no,2024-01-16,2025-08-16,user_1648
user_1581,sales,admin,yes,yes,2023-06-06,,user_9478
user_1582,sales,analyst,yes,yes,2022-03-29,,user_7559
user_1583,hr,engineer,no,yes,2023-02-10,,user_6434
user_1585,it,engineer,yes,yes,2023-05-15,,user_1956
user_1588,sales,engineer,yes,yes,2025-04-21,,user_6084
user_1589,hr,engineer,no,yes,2024-07-07,,user_8903
user_1590,finance,engineer,no,yes,2021-01-22,,user_7294
user_1591,it,manager,yes,yes,2021-07-04,,user_1531
user_1594,sales,analyst,yes,yes,2023-07-27,,user_7117
user_1596,operations,admin,no,yes,2021-10-15,,user_1186
user_1598,it,analyst,yes,no,2021-08-20,2025-03-24,user_3483
user_1599,finance,engineer,yes,yes,2025-04-12,,user_7012
user_1601,operations,analyst,yes,yes,2022-11-07,,user_3659
user_1603,sales,engineer,no,yes,2025-10-29,,user_4135
user_1606,finance,engineer,yes,yes,2021-04-09,,user_9581
user_1607,it,analyst,no,yes,2024-05-14,,user_6596
user_1608,sales,analyst,yes,yes,2025-11-10,,user_8136
user_1609,operations,analyst,no,yes,2022-10-08,,user_7471
user_1614,operations,engineer,yes,yes,2023-11-25,,user_6748
user_1615,operations,admin,yes,yes,2021-01-12,,user_4231
user_1619,it,analyst,no,yes,2024-09-06,,user_8789
user_1621,hr,engineer,yes,yes,2021-09-20,,user_4826
user_1625,sales,analyst,yes,yes,2021-05-09,,user_4350
user_1629,sales,manager,yes,yes,2024-12-11,,user_8960
user_1630,sales,intern,yes,yes,2022-12-06,,user_2288
user_1635,sales,analyst,yes,yes,2023-08-17,,user_5019
user_1638,it,manager,yes,yes,2022-09-25,,user_8672
user_1640,it,analyst,yes,yes,2025-04-24,,user_6765
user_1644,operations,analyst,yes,yes,2025-01-11,,user_8501
user_1645,operations,analyst,yes,yes,2022-05-30,,user_4069
user_1646,operations,analyst,no,yes,2025-06-06,,user_3601
user_1647,operations,engineer,no,yes,2025-07-18,,user_3119
user_1648,sales,manager,yes,no,2024-09-14,2025-04-24,user_3882
user_1649,hr,engineer,yes,yes,2021-10-31,,user_2622
user_1650,it,analyst,no,yes,2023-11-12,,user_7112
user_1652,finance,analyst,yes,yes,2021-10-12,,user_6530
user_1655,it,engineer,no,yes,2021-05-29,,user_5913
user_1656,finance,intern,no,yes,2024-02-08,,user_9356
user_1658,it,analyst,yes,yes,2024-02-13,,user_8317
user_1659,it,intern,yes,yes,2025-08-02,,user_4904
user_1663,hr,engineer,no,no,2021-08-09,2024-12-02,user_5930
user_1664,it,engineer,yes,yes,2021-05-03,,user_3227
user_1669,finance,engineer,yes,yes,2021-04-10,,user_4922
user_1670,finance,analyst,yes,yes,2021-05-21,,user_9818
user_1671,sales,analyst,yes,yes,2023-04-21,,user_9356
user_1672,it,engineer,yes,yes,2023-03-31,,user_5504
user_1678,finance,analyst,yes,yes,2022-12-30,,user_4752
user_1679,it,intern,yes,no,2024-11-02,2025-01-17,user_8345
user_1683,operations,manager,yes,yes,2023-08-20,,user_2656
user_1685,hr,analyst,yes,yes,2023-01-11,,user_7664
user_1686,operations,engineer,yes,yes,2022-02-16,,user_6993
user_1688,finance,analyst,no,yes,2021-10-27,,user_9225
user_1691,finance,engineer,no,yes,2022-11-21,,user_2928
user_1692,it,engineer,yes,yes,2022-05-24,,user_3077
user_1695,it,intern,yes,yes,2023-09-03,,user_9782
user_1697,operations,admin,yes,yes,2025-02-03,,user_5466
user_1700,operations,engineer,no,yes,2023-01-13,,user_4094
user_1701,sales,engineer,no,yes,2025-11-10,,user_6212
user_1702,it,intern,no,yes,2023-06-10,,user_6262
user_1704,hr,analyst,yes,yes,2022-10-22,,user_8301
user_1706,operations,analyst,no,yes,2023-12-19,,user_3054
user_1709,hr,analyst,yes,yes,2021-07-21,,user_1384
user_1710,it,analyst,yes,yes,2023-02-06,,user_3750
user_1713,finance,engineer,yes,no,2023-09-29,2025-03-26,user_9061
user_1714,finance,engineer,no,yes,2023-06-27,,user_2317
user_1716,sales,engineer,yes,yes,2023-02-09,,user_3818
user_1717,sales,analyst,no,yes,2025-02-12,,user_6184
user_1719,operations,engineer,no,no,2021-04-09,2025-05-20,user_2672
user_1720,it,analyst,yes,yes,2022-11-16,,user_2688
user_1721,finance,engineer,yes,yes,2025-08-01,,user_9627
user_1723,finance,engineer,no,yes,2023-03-29,,user_4747
user_1725,hr,analyst,yes,yes,2025-09-29,,user_6005
user_1732,it,analyst,yes,yes,2024-03-17,,user_7443
user_1735,operations,analyst,yes,yes,2022-02-24,,user_6791
user_1740,operations,admin,yes,no,2025-10-29,2025-08-24,user_3575
user_1741,hr,intern,yes,no,2021-11-26,2022-07-27,user_5705
user_1742,sales,engineer,yes,yes,2022-09-24,,user_3960
user_1743,operations,analyst,yes,yes,2022-10-09,,user_9911
user_1748,it,manager,yes,yes,2022-08-07,,user_1669
user_1750,operations,engineer,no,yes,2024-05-29,,user_6097
user_1751,it,admin,no,yes,2024-09-18,,user_7949
user_1753,hr,analyst,no,no,2025-03-09,2025-09-27,user_7932
user_1754,it,analyst,yes,yes,2022-05-26,,user_6706
user_1760,operations,engineer,no,yes,2023-03-29,,user_7124
user_1765,finance,manager,yes,no,2021-01-29,2024-10-02,user_7981
user_1766,finance,analyst,yes,yes,2022-01-28,,user_6415
user_1775,finance,analyst,no,yes,2023-04-16,,user_7677
user_1778,finance,engineer,no,yes,2021-06-30,,user_3912
user_1780,sales,intern,no,yes,2021-09-20,,user_5934
user_1786,operations,intern,no,yes,2023-07-10,,user_2746
user_1792,it,engineer,yes,yes,2021-10-30,,user_8194
user_1794,finance,engineer,yes,yes,2022-03-07,,user_6598
user_1795,it,analyst,yes,no,2024-07-17,2025-03-03,user_8317
user_1797,it,engineer,yes,no,2022-04-25,2025-02-17,user_9385
user_1798,finance,manager,yes,yes,2024-11-04,,user_3818
user_1801,it,engineer,yes,yes,2022-04-24,,user_2652
user_1805,it,manager,yes,yes,2022-06-01,,user_7768
user_1806,operations,analyst,yes,yes,2024-05-12,,user_9976
user_1809,operations,analyst,no,yes,2025-05-29,,user_6481
user_1810,finance,analyst,no,no,2022-06-08,2024-05-31,user_2232
user_1811,it,analyst,yes,no,2024-03-06,2025-02-24,user_5280
user_1812,operations,analyst,yes,yes,2025-10-21,,user_6318
user_1813,it,intern,yes,yes,2021-03-02,,user_3374
user_1817,sales,manager,yes,yes,2021-05-26,,user_7051
user_1818,operations,engineer,yes,yes,2024-01-21,,user_9201
user_1819,finance,intern,yes,yes,2022-10-17,,user_8523
user_1824,finance,intern,yes,yes,2024-01-04,,user_5687
user_1825,operations,engineer,yes,yes,2025-09-29,,user_2089
user_1827,finance,admin,no,yes,2023-02-25,,user_4886
user_1828,it,analyst,yes,no,2021-01-27,2024-10-24,user_8489
user_1833,sales,analyst,no,yes,2022-12-11,,user_2058
user_1834,it,manager,yes,yes,2024-01-15,,user_4318
user_1838,it,engineer,yes,yes,2022-02-16,,user_5451
user_1843,operations,engineer,no,yes,2025-10-26,,user_3153
user_1844,it,analyst,yes,yes,2023-05-10,,user_9534
user_1847,it,analyst,yes,yes,2022-03-10,,user_8052
user_1848,sales,engineer,no,no,2021-01-07,2024-01-05,user_6980
user_1850,it,analyst,yes,yes,2023-08-17,,user_1719
user_1853,sales,engineer,no,yes,2022-06-13,,user_2593
user_1856,sales,engineer,yes,yes,2024-01-03,,user_2651
user_1859,finance,engineer,no,yes,2024-05-27,,user_3300
user_1864,finance,admin,yes,yes,2024-05-02,,user_4212
user_1865,finance,intern,no,no,2024-08-22,2025-01-12,user_7685
user_1867,finance,manager,yes,yes,2023-04-28,,user_3964
user_1871,finance,engineer,no,yes,2021-07-29,,user_3635
user_1874,operations,engineer,no,yes,2022-10-02,,user_3116
user_1876,finance,analyst,yes,yes,2024-07-11,,user_7926
user_1880,hr,analyst,no,yes,2025-09-24,,user_3467
user_1881,sales,analyst,yes,yes,2025-05-05,,user_1203
user_1884,finance,manager,no,yes,2025-01-13,,user_6726
user_1889,sales,engineer,yes,yes,2021-01-12,,user_9192
user_1892,hr,admin,no,no,2023-06-24,2024-02-18,user_4715
user_1893,finance,analyst,no,yes,2024-10-13,,user_1847
user_1897,operations,analyst,yes,no,2023-11-12,2024-09-08,user_6123
user_1899,operations,intern,yes,yes,2023-10-22,,user_1716
user_1900,sales,analyst,yes,no,2022-07-15,2025-10-16,user_2290
user_1904,operations,manager,no,yes,2025-06-17,,user_2863
user_1905,sales,engineer,yes,yes,2021-11-20,,user_9301
user_1910,hr,engineer,yes,no,2025-05-03,2025-09-17,user_7977
user_1912,finance,analyst,no,yes,2021-07-06,,user_4583
user_1917,operations,analyst,yes,no,2024-10-12,2025-06-05,user_4526
user_1918,sales,analyst,no,no,2023-05-13,2025-11-01,user_6013
user_1920,sales,engineer,yes,yes,2025-03-20,,user_1254
user_1922,it,engineer,yes,yes,2023-09-29,,user_3003
user_1924,it,analyst,yes,yes,2022-06-13,,user_8059
user_1925,operations,engineer,yes,yes,2024-05-30,,user_1669
user_1926,hr,admin,yes,yes,2023-03-07,,user_4204
user_1927,sales,analyst,no,yes,2021-03-14,,user_2464
user_1934,sales,manager,yes,yes,2025-04-28,,user_5087
user_1939,it,engineer,no,no,2025-04-29,2025-03-06,user_7221
user_1940,operations,analyst,no,yes,2023-10-31,,user_3937
user_1941,operations,analyst,yes,yes,2024-02-06,,user_7241
user_1950,finance,engineer,yes,no,2024-05-02,2025-04-20,user_3272
user_1952,sales,intern,no,yes,2024-05-28,,user_5751
user_1954,it,admin,yes,yes,2021-08-11,,user_4767
user_1956,sales,engineer,yes,yes,2021-03-09,,user_5167
user_1958,hr,engineer,no,yes,2021-05-01,,user_8401
user_1959,sales,manager,yes,yes,2022-09-15,,user_3031
user_1963,it,engineer,no,yes,2023-09-14,,user_8144
user_1968,finance,manager,yes,no,2022-10-31,2024-05-17,user_7559
user_1969,sales,analyst,yes,yes,2024-04-10,,user_1367
user_1971,finance,engineer,yes,yes,2022-01-21,,user_1750
user_1972,hr,engineer,no,yes,2024-06-24,,user_9988
user_1976,sales,manager,no,yes,2023-04-28,,user_8462
user_1979,sales,intern,no,no,2023-10-26,2025-07-08,user_7596
user_1980,it,analyst,yes,yes,2021-03-03,,user_7328
user_1986,operations,analyst,yes,yes,2023-09-15,,user_4449
user_1989,it,analyst,yes,yes,2022-12-01,,user_9004
user_1990,hr,admin,yes,no,2022-10-17,2025-05-27,user_6595
user_1992,hr,engineer,yes,yes,2024-12-05,,user_7041
user_1994,operations,analyst,no,yes,2021-10-05,,user_3036
user_1999,operations,engineer,yes,yes,2021-09-21,,user_3642
user_2001,operations,manager,no,yes,2023-03-16,,user_1561
user_2002,operations,admin,yes,yes,2022-07-31,,user_6863
user_2005,finance,manager,no,yes,2023-08-08,,user_8355
user_2006,it,manager,yes,yes,2021-04-10,,user_7501
user_2009,finance,intern,yes,yes,2022-11-26,,user_8851
user_2011,it,analyst,yes,yes,2023-02-15,,user_4231
user_2012,it,analyst,yes,yes,2022-01-02,,user_5074
user_2013,sales,engineer,yes,yes,2021-03-10,,user_4650
user_2014,it,intern,yes,yes,2022-06-14,,user_9356
user_2017,finance,manager,yes,yes,2021-12-20,,user_4931
user_2019,finance,analyst,no,yes,2024-06-07,,user_4666
user_2021,operations,analyst,no,yes,2021-03-20,,user_7222
user_2023,operations,engineer,no,yes,2021-02-10,,user_1979
user_2024,finance,analyst,yes,yes,2025-04-10,,user_5565
user_2027,finance,engineer,no,no,2021-01-02,2023-11-21,user_2343
user_2028,operations,intern,yes,yes,2025-08-17,,user_4858
user_2029,finance,manager,yes,yes,2023-06-18,,user_8644
user_2030,sales,manager,yes,yes,2024-03-25,,user_8180
user_2033,operations,manager,yes,no,2024-06-08,2024-07-24,user_4739
user_2034,finance,analyst,yes,yes,2025-03-08,,user_8399
user_2036,finance,intern,yes,yes,2025-08-21,,user_9796
user_2039,sales,manager,yes,yes,2024-01-14,,user_6990
user_2041,it,manager,yes,yes,2024-11-27,,user_8631
user_2045,it,engineer,yes,yes,2023-01-29,,user_7415
user_2047,sales,manager,no,yes,2021-12-10,,user_1351
user_2050,sales,engineer,no,yes,2022-06-15,,user_6333
user_2051,sales,analyst,yes,yes,2024-05-26,,user_4010
user_2052,operations,admin,no,no,2022-08-10,2025-02-06,user_9170
user_2053,it,intern,no,yes,2024-06-10,,user_1591
user_2054,finance,engineer,yes,yes,2022-10-31,,user_5923
user_2058,operations,intern,yes,no,2023-10-22,2025-01-06,user_5183
